"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BYND","Beyond Meat, Inc.","116.22","$7.15B","2019","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/bynd",
"BYSI","BeyondSpring, Inc.","16.73","$434.38M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bysi",
"BGCP","BGC Partners, Inc.","5.38","$1.9B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/bgcp",
"BCYC","Bicycle Therapeutics plc","14.927","$267.24M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bcyc",
"BGFV","Big 5 Sporting Goods Corporation","3.54","$76.72M","2002","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/bgfv",
"BRPA","Big Rock Partners Acquisition Corp.","10.6341","$54.76M","2017","Finance","Business Services","https://old.nasdaq.com/symbol/brpa",
"BRPAR","Big Rock Partners Acquisition Corp.","0.25","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/brpar",
"BRPAU","Big Rock Partners Acquisition Corp.","10.85","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/brpau",
"BRPAW","Big Rock Partners Acquisition Corp.","0.195","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/brpaw",
"BILI","Bilibili Inc.","28.69","$9.36B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/bili",
"BASI","Bioanalytical Systems, Inc.","4.61","$49.87M","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/basi",
"BCDA","BioCardia, Inc.","4.25","$29.01M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcda",
"BCDAW","BioCardia, Inc.","1","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcdaw",
"BIOC","Biocept, Inc.","0.3241","$13.68M","2014","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/bioc",
"BCRX","BioCryst Pharmaceuticals, Inc.","2.8","$431.37M","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcrx",
"BDSI","BioDelivery Sciences International, Inc.","5.27","$519.52M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bdsi",
"BFRA","Biofrontera AG","11.2624","$252.56M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bfra",
